553193866057506817	,#CharlieHebdo will continue publishing in wake of the attack: http://t.co/djW9x4BqHQ http://t.co/xDlLZ4AtPe,002834	,0,"['m.0289n8t', 'm.06z90w', 'm.01g317', 'm.03hgt', 'm.0d0vp3']"
552983300730404864	,Cowards~ Liberal Media Refuses To Show #CharlieHebdo Cartoons! But #RedNationRising Is NOT! #IslamIsTheProblem http://t.co/IXTbsRlNaU,001553	,0,"['m.0289n8t', 'm.04s97', 'm.06z90w', 'm.0b4101', 'm.03hgt', 'm.04hbc', 'm.06zlcz1']"
553188214522249217	,"#CharlieHebdo journalists 'provoked' their own slaughter, says American Catholic group http://t.co/nYQp3hgPyN http://t.co/CjnKSwL8u6",000478	,0,"['m.0289n8t', 'm.051_y', 'None', 'm.06z90w', 'm.0c8wxp', 'm.01g317', 'm.03hgt']"
553566829273423872	,Likely the best #CharlieHebdo solidarity sign yet. #JeSuisCharlie http://t.co/JJ2TmF7TYa,002164	,0,"['m.0289n8t', 'm.01940j', 'm.06z90w', 'm.01g317', 'm.03hgt', 'm.06nfvk']"
553216460164968449	,The Foreign Office鈥檚 Union flag at half mast today. Our thoughts with the French people. #CharlieHebdo #JeSuisCharlie http://t.co/6KCR9GkaGB,000082	,0,"['m.0289n8t', 'm.0g7hr', 'm.06z90w', 'm.0317s', 'm.03hgt', 'm.03ts0c', 'm.05h01d']"
552842983247466497	,"#CharlieHebdo's editor Charb, assassinated today, said in 2012:""I prefer to die standing than to live on my knees."" http://t.co/fopZNpukcJ",001415	,0,"['m.0289n8t', 'm.06z90w', 'm.01g317', 'm.03hgt', 'm.012hw']"
553207514222063618	,Cartoonists fight back. This may be the best yet. #JeSuisCharlie  http://t.co/hfoxT6dh1T,002086	,0,"['m.0289n8t', 'm.03hgt']"
552810625873633280	,"In reporting the #CharlieHebdo terrorist attack, @Telegraph blurs out the French mag's cover cartoon of Mohammed http://t.co/8SDCsSVlc8",001527	,0,"['m.0179qd', 'm.0289n8t', 'm.0215n', 'm.07jq_', 'm.06z90w', 'm.0bt_c3', 'm.04s9n', 'm.03hgt', 'm.03ts0c']"
553186026811039745	,INFOGRAPHIC: Anti-#Muslim attacks in #France after the Charlie Hebdo massacre. #no2h8 @HuffPostUK @Independent http://t.co/KlWiFmYyb6,003503	,0,"['m.0289n8t', 'm.04y29', 'm.0f8l9c', 'm.015jb0', 'm.03hgt', 'm.0d0vp3', 'm.03xc_j']"
553562348376850433	,French police named two suspects in killing of policewoman in Montrouge: http://t.co/W5Fam8pfQ9 http://t.co/U3fLI0609G,000218	,0,"['m.0289n8t', 'm.01g317', 'm.03hgt', 'm.03ts0c', 'm.04p8vw']"
552810124776308736	,Stop making excuses for terrorists. #CharlieHebdo tweeted this before Christmas and there'll be no avenging Jesus. http://t.co/BS3Z759LLx,001776	,0,"['m.0289n8t', 'm.03hgt', 'm.06z90w', 'm.07jq_', 'm.045m1_', 'm.01vq3']"
552808701065953280	,"""Terror"" in France: Gunmen in #CharlieHebdo attack still at large. What we know so far http://t.co/Jfqmha1GdV (Getty) http://t.co/2QyDcbE7P6",002326	,0,"['m.0289n8t', 'm.0k4j', 'm.0f8l9c', 'm.06z90w', 'm.01g317', 'm.03hgt']"
552816288612225024	,#CharlieHebdo attack: terrified witness films masked gunmen shooting man on pavement http://t.co/4K2F98Q4JT http://t.co/LwggGQP0Ao,001006	,0,"['m.0289n8t', 'm.0k4j', 'm.06z90w', 'm.01g317', 'm.03hgt']"
552840067199533057	,We stand w/the int'l community in defense of freedom of press. Our thoughts R w/the victims &amp; families #CharlieHebdo http://t.co/dymLeiXPy1,000556	,0,"['m.0qdl2', 'm.06z90w', 'm.0289n8t', 'm.03hgt']"
553111157738057728	,So now let's talk seriously about #CharlieHebdo and Western double standard on freedom of speech http://t.co/X8iyp64azl,003462	,0,"['m.020wr2', 'm.0289n8t', 'm.02_xmt', 'm.0930v2', 'm.06z90w', 'm.03hgt', 'm.01t3qm']"
552847548776742914	,"Please, RT! #CharlieHebdo attack has another victim! Via @MiddleEastMnt #ParisShooting http://t.co/PNesB88POL",003641	,0,"['m.0289n8t', 'm.047tvb4', 'm.06z90w', 'm.01g317', 'm.03hgt']"
552806462125506560	,#CharlieHebdo: Nothing can justify attack &amp; those who organised &amp; committed these crimes should be brought to justice http://t.co/eoDTplTQll,002071	,0,"['m.01rbb', 'm.0289n8t', 'm.06z90w', 'm.045k9', 'm.03hgt', 'm.0d0vp3']"
553573875528007680	,#CharlieHebdo suspects were on British terror watch list for years http://t.co/LbKmHMVDoV http://t.co/KDWpLXG9MI,003013	,0,"['m.06z90w', 'm.0289n8t', 'm.03kd81', 'm.03hgt']"
552807832257835008	,Video: #CharlieHebdo's editor tells Al Jazeera why they are a target [2012] http://t.co/EJK2Em0M8R http://t.co/UK970UDPPz,003388	,0,"['m.0289n8t', 'm.07z4p', 'm.06z90w', 'm.01g317', 'm.03hgt', 'm.027glbp']"
552814130827370498	,"Let there be more, not less.  #CharlieHebdo http://t.co/Ut4yuxi30O",003601	,0,"['m.06z90w', 'm.0289n8t', 'm.03hgt']"
553200552142983168	,Indeed ....#charliehebdo http://t.co/uG68bncPDP,003361	,0,"['m.06z90w', 'm.01g317', 'm.0289n8t', 'm.03hgt']"
553562569169199104	,Breaking News: 2 hostage standoffs right now in France. 1 involves #CharlieHebdo suspects. http://t.co/HlhbTJmm1D http://t.co/CwmrmxLApA,000329	,0,"['m.0289n8t', 'm.0f8l9c', 'm.06z90w', 'm.01g317', 'm.03hgt']"
552841650582847488	,"""You can't kill satire. You can only prove its point."" -- @LOLGOP  #CharlieHebdo #JeSuisCharlie http://t.co/T5APwBfX6m",003424	,0,"['m.03hgt', 'm.06z90w', 'm.0289n8t', 'm.06nbt']"
553149347777753088	,Met Officers observe 2 minute silence #PoliceTributeToParis outside New Scotland Yard #CharlieHebdo http://t.co/MyqfcWnPvb,000800	,0,"['m.0289n8t', 'm.0hnnb', 'm.059t8', 'None', 'm.06z90w', 'm.01g317', 'm.03hgt', 'm.06q1r']"
552849116280393728	,And a cartoon for today by @davpope  (via @BklynMiddleton &amp; @DAaronovitch) #CharlieHebdo #JeSuisCharlie http://t.co/1FUwGkwqvP,000021	,0,"['m.06z90w', 'm.0215n', 'm.0289n8t', 'm.03hgt']"
553198344034865152	,These cartoons are all poignant tributes to victims of the Charlie Hebdo attack http://t.co/Q9SLIvYt7o http://t.co/fKRn7dO6ZD,000991	,0,"['m.04zxpl2', 'm.0289n8t', 'm.0b4101', 'm.03hgt']"
552834732325879809	,White House @PressSec says shooting at #CharlieHebdo office seems to be an attack on freedom of press. #ParisShooting http://t.co/zulRpKriuv,002298	,0,"['m.081sq', 'm.0289n8t', 'None', 'm.06z90w', 'm.01g317', 'm.03hgt', 'm.0d0vp3', 'm.0qdl2']"
553185062829948928	,Exactly the right response: mass #CharlieHebdo sharing starts at 14 GMT via @IndexCensorship http://t.co/1TZzeqncQ8 http://t.co/9Uncsrw1bQ,003200	,0,"['m.0289n8t', 'm.06z90w', 'm.01g317', 'm.0bt_c3', 'm.040b_t', 'm.03hgt']"
553098796108750848	,"Today's cartoon, by @DaveBrownToons. #CharlieHebdo #JeSuisCharlie http://t.co/zsz3ujodlT",000564	,0,"['m.06z90w', 'm.0215n', 'm.0289n8t', 'm.03hgt']"
553218083410952192	,'We have stories to tell. Not everyone will like them.  Stand with us.' #TellYourStory #JeSuisCharlie http://t.co/jx8We9hCgS,000821	,0,"['m.0fq431', 'm.0289n8t', 'm.01g317', 'm.03hgt']"
553152448077258753	,Headquarters of @welt and @BILD in Berlin. #JeSuisCharlie http://t.co/ZsxHuTxcMj,001645	,0,"['m.0289n8t', 'm.03hgt', 'm.01jfhb', 'm.0156q', 'm.04gzkw']"
552788720236376064	,French newspaper Charlie Hebdo's last tweet before gunmen attack http://t.co/vsjId0EWRk http://t.co/yJhgbhIXQ6,001220	,0,"['m.05jnl', 'm.0289n8t', 'm.064_8sq', 'm.06z90w', 'm.03hgt']"
553161476928978944	,True story. #JeSuisCharlie http://t.co/s6dBFKSwD9,002331	,0,"['m.0289n8t', 'm.03hgt']"
552809336360419329	,Journalists and others using #JeSuisCharlie to express support for freedom of speech after Paris attack http://t.co/OSzSvL3pKy,003135	,0,"['m.0289n8t', 'm.0930v2', 'm.0d8qb', 'm.03hgt', 'm.05qtj']"
552847035108323329	,"He drew first, by @davpope #CharlieHebdo #JeSuisCharlie http://t.co/X5w0XRsrJJ",003220	,0,"['m.06z90w', 'm.07sgz', 'm.0289n8t', 'm.03hgt']"
553555948883959809	,The world must know his name.  #FreeRaif #RaifBadawi #JeSuisCharlie #JeSuisRaif  READ: http://t.co/cTrniNQqdA  Pls RT http://t.co/UwZWfkHXjQ,002441	,0,"['m.0289n8t', 'm.01g317', 'm.03hgt']"
552838171323817984	,Charlie Hebdo's latest issue. They made fun of all religions... http://t.co/FdMHriGpzh,003310	,0,"['m.06z90w', 'm.0289n8t', 'm.03hgt']"
553583847850663936	,LIVE REPORT - Assault in #Dammartin http://t.co/j0qZQGopsx #CharlieHebdo http://t.co/czsIwEto2d,001889	,0,"['m.06z90w', 'm.0289n8t', 'm.03hgt']"
552833197084778496	,Social media users show solidarity for #CharlieHebdo with #JeSuisCharlie hashtag http://t.co/v0m1buPOMy http://t.co/mci5nwDlDQ,001132	,0,"['m.0289n8t', 'm.03rlt', 'm.05p_8g', 'm.015qff', 'm.0fch0p', 'm.06z90w', 'm.03hgt', 'm.06nfvk']"
552787361437057024	,"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",002290	,0,"['m.0289n8t', 'm.04y29', 'm.01659q', 'm.03hgt', 'm.041rx', 'm.0c8wxp', 'm.06tb10', 'm.01hwt']"
552849662991151104	,BREAKING NEWS: The 4 French cartoonists killed in #CharlieHebdo  terror attack today. RIP http://t.co/CjmNTDWgzP,000771	,0,"['m.0289n8t', 'None', 'm.06z90w', 'm.07jq_', 'm.01g317', 'm.0bwk4lh', 'm.03hgt', 'm.03ts0c', 'm.052j8s']"
552815017402589184	,France is at its highest possible terror threat level after the #CharlieHebdo attack. http://t.co/1z7NtGWe5i http://t.co/kopINQNwfj,001269	,0,"['m.0289n8t', 'm.0k4j', 'm.06z90w', 'm.022wz2', 'm.03hgt', 'm.01l3vx']"
553149163181838336	,"Can't sleep tonight, thoughts with my French cartooning colleagues, their families and loved ones #CharlieHebdo http://t.co/vJWi8AbE79",003220	,0,"['m.03ts0c', 'm.06z90w', 'm.0289n8t', 'm.03hgt']"
553189165509394432	,What we do and don't know about the aftermath of the Charlie Hebdo shooting http://t.co/r7Zo8PQyCM http://t.co/mu7n5BzGhR,000625	,0,"['m.0289n8t', 'm.03hgt']"
552980862774808577	,Thousands gather across France in solidarity with #CharlieHebdo terror victims. #JeSuisCharlie http://t.co/GHMABahgaT,001932	,0,"['m.0289n8t', 'm.01x3z', 'm.06z90w', 'm.07jq_', 'm.01g317', 'm.03hgt', 'm.01l3vx', 'm.06nfvk']"
553128245420257280	,"Paris Terrorist was Radicalized by Bush鈥檚 Iraq War, Abu Ghraib Torture http://t.co/0Gz5nKVpQP http://t.co/AwgpcRWca7",003352	,0,"['m.09b6zr', 'm.0289n8t', 'm.0d06vc', 'm.02ypxr', 'm.07jq_', 'm.03hgt', 'm.0cttd', 'm.0dphdm', 'm.05qtj']"
553506985413713920	,Charlie Hebdo will print a million copies of its next edition with government and Google help http://t.co/7NWsbPcbEW http://t.co/vU5XUNjXj6,002920	,0,"['m.0289n8t', 'm.036nz', 'm.045c7b', 'm.011s0', 'm.06z90w', 'm.03hgt']"
553132714446950400	,"Grenades thrown at mosque in France, day after #CharlieHebdo attack: Officials http://t.co/Tmk64xeuo5 http://t.co/lQGYXz99UH",000035	,0,"['m.0289n8t', 'm.0k4j', 'm.07r04', 'm.0f8l9c', 'm.015qff', 'm.04_xn', 'm.06z90w', 'm.01g317', 'm.03hgt', 'm.0hslb']"
552819983915700224	,"""Love is stronger than hate"": #CharlieHebdo cover after Molotov cocktail attack on its offices in 2011 http://t.co/0XTOpHNGjw",001554	,0,"['m.03plx', 'm.0289n8t', 'm.06z90w', 'm.0585f', 'm.03hgt']"
553131763468603392	,How people in France view Muslims: Very positively #CharlieHebdo http://t.co/mri0tPun5U http://t.co/7ebMQhBs88,000904	,0,"['m.0289n8t', 'm.04y29', 'm.06z90w', 'm.03hgt', 'm.01l3vx']"
553164722380742656	,Charlie Hebdo attack: minute's silence held for victims around the world http://t.co/BP9uXF8M7F http://t.co/3uDo93WC5K,003397	,0,"['m.0289n8t', 'm.01kcjb', 'None', 'm.01g317', 'm.03hgt']"
553586538928676864	,Live video from standoff north of Paris with brothers suspected in the Charlie Hebdo attack http://t.co/mPaB3pGQdA http://t.co/1MU2eqChai,003557	,0,"['m.0289n8t', 'm.07z4p', 'm.03hgt', 'm.02mzct', 'm.05qtj']"
553226624976420864	,Obama supports 'moderate' Muslims #CharlieHebdo #Nosharia #tcot #tgdn #teaparty #PJNET #ccot #RedNationRising http://t.co/1VUhxsm5S9,003382	,0,"['m.09v571r', 'm.0289n8t', 'm.04y29', 'm.01m3sf7', 'm.06z90w', 'm.02jlws', 'm.01g317', 'm.03hgt', 'm.02mjmr']"
553096978788515840	,"More freedom satire from Charlie Hebdo - ""The Pope in Paris: The French Are As Idiotic As The Blacks"" http://t.co/LpQG9TmIlM ht @LeJebly",000964	,0,"['m.0289n8t', 'm.064_8sq', 'm.06nbt', 'm.05rd8', 'm.06z90w', 'm.03hgt', 'm.02_cg', 'm.05qtj']"
